Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
92348,2.197092981,-0.429995954,-1.439193834,-0.307975167,-0.020265738,-0.715370419,-0.165705086,-0.432532499,0.585859856,0.502104367,-0.153638967,-2.279110987,2.484073294,1.535785523,-0.940233969,-1.737569714,0.64790116,0.798503844,-0.712071691,-0.575687816,-0.683675929,-1.145510325,0.310465886,0.518358521,-0.180141036,0.415690788,-0.099064023,-0.06292767,16.94,0
92349,-3.833345537,3.178577856,-2.271357397,-0.965729293,-0.426073031,-0.603747148,0.227831086,0.838211973,2.71788625,1.679490777,-1.119050395,-2.023544075,2.424907131,1.419094773,-1.317054449,0.036239303,0.303586614,-0.270763134,0.019400991,0.456223925,-0.626699233,-0.656795997,-0.059549522,-1.052801803,-0.424875455,-0.004903243,-1.167225921,-0.945529641,48.01,0
92349,2.007114636,0.113504016,-1.495139349,0.567020197,0.340001907,-0.643119648,-0.079726658,-0.114250855,1.691181362,-0.547523338,2.037024427,-2.261436435,0.362161747,1.04365497,-1.111000617,0.487402193,1.093413104,0.551817057,0.074541073,-0.258031827,-0.460822066,-1.088131292,0.370632792,0.575581234,-0.380468334,0.107314037,-0.102381244,-0.04651716,8.99,0
92351,-0.669129186,1.336779635,-0.285827581,-0.03503769,0.296780039,-1.076219603,0.469642857,0.323897861,1.503977537,-1.801060282,-0.302412297,-3.690932221,-0.629701274,0.350682961,-1.373564385,0.193498532,2.223234671,0.812111632,-0.519123603,-0.237968671,-0.095580885,0.09500788,-0.176772139,-0.201586869,-0.266134598,0.554421541,0.214814685,0.187719653,14.46,0
92352,-0.818886071,1.066988766,1.114802617,-0.355337515,-0.258985118,1.455682726,-1.211008213,-2.902691112,1.829811923,-0.832737182,1.251791529,-2.225045896,0.277478508,1.977388494,-0.396581916,0.448214067,0.279108185,0.930715593,0.339425582,-0.801533899,2.613334797,-2.123400589,-0.101610278,0.058051146,1.341273054,-0.335019045,0.215095149,0.140160878,59.99,0
92353,1.808302473,-0.499923905,-2.100796014,-0.112868704,2.046646916,3.703384757,-1.054427626,0.928299743,2.117848873,-0.859321202,1.261971522,-2.30657668,1.561861045,0.325005977,0.324557204,0.728211072,1.050133495,0.349465709,-0.705469157,0.033840496,-0.374935963,-1.006064643,0.368107571,0.517883057,-0.588915146,-0.047865434,-0.020107301,-0.009673388,90,0
92354,1.86464157,-0.051234434,-1.750350896,0.64967768,0.335363404,-0.804751278,0.126284758,-0.316466818,2.231924012,-1.324580164,0.506293881,-2.085372652,1.892232938,-0.225781971,-0.835424095,0.03073973,1.865824088,0.373318671,-0.101566781,0.011164898,-0.355688537,-0.732243204,0.142960117,0.557332595,-0.082413563,-0.171061806,-0.051134725,-0.001589927,98.92,0
92356,-0.001194342,0.903103344,0.487797193,-0.472012179,0.457332621,-0.817381934,0.789521555,-0.123503291,1.037000072,-0.600287572,1.732705818,-1.868769631,1.137196752,1.830993492,-1.802925101,0.065955291,0.130414756,0.040189712,-0.029855484,-0.101561926,-0.358285579,-0.661604148,0.084184847,-0.00168412,-0.569090089,0.0778435,0.214250606,0.080837423,2.68,0
92357,2.022678815,0.219611962,-1.482631777,1.625679353,0.32492759,-1.224890104,0.477464742,-0.445041639,1.710051399,-0.064567708,-0.318679966,-2.983877145,-0.094725067,2.258827167,-1.141262759,-0.642396341,0.637100158,-0.118496558,-0.351073459,-0.416534694,-0.11772959,0.040824143,0.01463062,-0.049121314,0.395821924,-0.529701549,-0.055780007,-0.069491824,16.99,0
92358,-1.570686282,1.830280864,0.407760656,-0.808079069,-0.396628389,-0.562980672,-0.189201753,0.561280059,2.223354019,-0.595213379,2.001268035,-2.096266619,0.716369841,0.378681449,-0.867984952,0.779595329,1.103791417,1.1095378,-0.464054735,0.195396691,-0.384594593,-0.799799342,0.066450539,-0.217417826,-0.123169978,-0.319925313,0.168146503,0.20579711,3.76,0
92366,-0.766226497,1.020296572,1.170657674,-0.643297373,1.369088265,-0.376137664,1.078772699,-0.236309254,0.70693317,-1.506682791,-0.0245726,-1.870417894,2.920189925,1.387460552,-0.891533756,-0.379791547,0.226684198,-0.243767154,0.132895734,0.055943482,-0.394409879,-0.911192773,-0.310041468,0.417196545,0.771380211,-0.514347888,-0.017040253,0.056991896,9.99,0
92366,-1.839271234,0.42312932,2.484052067,-2.42186603,-0.706136718,-0.494498293,0.121184263,-0.091122594,3.384566879,-0.883218951,-0.205889985,-3.333675486,0.123504209,0.6070475,-0.183685319,0.844010271,-0.369641126,0.736390749,-1.436716223,-0.046234849,-0.166477158,0.296836369,-0.237110776,-0.003245136,0.494310782,0.571873997,0.043772771,0.018656695,37.98,0
92368,2.059392383,0.212008417,-2.037660595,1.131465617,1.288341085,0.22942424,0.354575545,-0.173010945,1.335739585,0.057333206,0.673260103,-2.056863054,1.157262452,2.156892314,-1.798679007,-0.226208666,-0.026047563,0.524788295,0.264790797,-0.278430697,-0.122722205,0.021919629,-0.096104048,-0.423228904,0.547950596,-0.515132893,-0.054964137,-0.081671741,14.99,0
92368,2.045909035,-0.04897205,-1.018395014,0.679991862,-0.130590299,-1.173958733,0.07672615,-0.375972021,2.002393455,-0.29029666,-0.027112757,-2.53345356,0.734161386,1.860225917,-0.862807664,-0.251213521,0.600409354,-0.512367549,0.002811003,-0.312729629,-0.404280987,-0.806094782,0.299485421,-0.02409565,-0.252085954,0.237081886,-0.107544139,-0.069919893,12.07,0
92373,-2.131711584,2.257061058,-0.058957148,-0.823471647,-0.75555512,-0.634886297,-0.559761375,1.00038345,2.245373942,-0.510678226,1.876005529,-1.926012635,0.77808732,0.624567806,-0.89261789,0.880017984,1.263659961,1.131623262,-0.49951214,0.217135566,-0.37116046,-0.833208662,0.132095592,-0.222402767,-0.047888624,-0.313153066,0.146665991,0.204106223,3.76,0
92374,-2.622637006,1.913721071,-0.802786709,-0.854280547,0.399077603,-0.67199226,0.552331587,-0.071610057,2.539047781,1.822910341,1.600626607,-1.671948989,1.689802626,1.184414667,-1.580779584,0.043015205,-0.058149895,-0.103183956,-0.012148878,0.076719698,-0.662977393,-0.727533008,0.469238281,-0.501012834,-0.147767432,0.083192317,0.110395424,0.050116752,8.91,0
92374,2.053726113,-0.051763477,-0.954468545,0.627026839,-0.164977468,-1.115369634,-0.017379666,-0.309612334,2.038928292,-0.264659178,0.015813809,-2.800230974,0.286267239,1.997313092,-0.494834095,-0.126598478,0.581445222,-0.511537878,-0.119730308,-0.362709496,-0.449600695,-0.97796446,0.374889792,-0.112911022,-0.384733359,0.167105294,-0.103703913,-0.069790431,2.69,0
92380,0.278414738,-3.565971386,-3.500161503,0.439636684,-0.607906487,-0.896637661,1.701392904,-0.846888347,-0.129897444,0.386508206,1.198167487,-2.454628368,1.190385977,2.653441801,-1.602449273,-1.848411126,0.600600326,1.776063097,-0.755062632,1.36777335,0.380441714,-0.382927545,-1.028234448,-0.358304974,0.10784434,0.87933589,-0.349029732,0.06322095,1025.92,0
92381,-0.511246314,1.101847647,0.936507933,-0.438375768,0.608435082,-0.261853817,0.754454085,-0.037543304,0.878630831,-0.576166564,1.252962029,-2.553588182,0.565651694,1.909706572,-1.198176356,0.043640891,0.238371789,0.357841946,0.823463118,0.008120076,-0.483945536,-1.143936306,-0.29226974,-0.58099847,0.552714924,0.387456076,-0.051415513,-0.036275795,1.79,0
92381,-3.147595004,3.370734201,-0.053827446,4.06764836,-0.600051427,1.606767627,-0.818523305,0.920899451,1.418529929,3.571960818,-1.103265571,-3.21420119,2.061697644,1.036538148,0.122616498,0.272847111,0.708907467,1.040891296,0.844787916,0.693859229,0.010981329,0.635655148,-0.049461548,0.017007829,-0.336201644,0.356435255,-0.594385584,0.120122943,30.23,0
92384,2.03440477,0.269555254,-1.564793738,1.411706661,0.630702033,-0.698579728,0.400880393,-0.318479909,1.352826836,0.088571672,1.223272341,-1.975996556,0.680603765,2.271819853,-1.908066743,-0.390056288,0.220431853,0.38197898,0.061936167,-0.375794694,-0.088063872,0.16719223,-0.033984962,-0.410193289,0.442676464,-0.527783707,-0.051741036,-0.084057367,0.99,0
